imo,name,dwt
9387918,ADRIATIC WAVE,51549
9388807,SEAJEWEL,108929
9388883,BBC TEXAS,12669
9388895,LOUISE AUERBACH,12651
9388900,LISA AUERBACH,12684
9389851,GULF CORAL,74999
9389849,LEON APOLLON,74999
9389825,GOYA,75750
9389813,SANTA MARIA,75825
9389708,ZIM MONACO,50775
9389514,HELENE MAERSK,37961
9389502,HARALD MAERSK,38004
9389497,HANS MAERSK,37961
9389411,REN JIAN 23,51733
9389318,CARTAGENA,46923
9389306,EF AVA,8168
9389277,ZENOVIA LADY,112085
9389265,CAESAR,318440
9389100,MYRTOS,106969
9389095,MINDORO,106741
9389083,AGRARI,107009
9389071,SCORPIO,107157
9389033,GEORGIOS,299999
9388912,LEANNE AUERBACH,12669
9387748,AZOV CONCORD,8975
9387724,FJELLANGER,46287
9387700,FAUSKANGER,46180
9386421,JOHNNY CASH,75149
9386304,RONALD N,54004
9386249,SCANDIC,11505
9386225,NORDIC ACE,7378
9386158,CHELSEA-5,6008
9386146,CHELSEA-4,6000
9385984,CSCL MONTEVIDEO,34194
9385922,FRISIAN OCEAN,8029
9385908,DONAU,7910
9385893,FRISIANA,8027
9385673,NEPTUNE,80986
9385611,ARGOLIKOS,52513
9385532,DIANE A,21986
9385506,MOMI ARROW,54204
9385221,SODA,18920
9385192,PINNACLE SPIRIT,159995
9385178,VALSESIA,37481
9385099,IRON LADY,32283
9385075,EMERALD BAY,32311
9385063,IRMA S,32295
9386392,FREE STATE,58679
9386471,MATSON HAWAII,52513
9387683,NCC MAHA,46265
9386483,AITOLIKOS,52408
9387671,NCC QAMAR,46195
9387621,AURELIA I,10860
9387592,ELBSTAR,14756
9387425,EMPIRE,20316
9387360,LOTUS G,53474
9387334,AG. NEKTARIOS,53447
9387279,ENERGY PROGRESS,46606
9387255,CENTENNIAL SAPPORO,110448
9387138,ATLANTIC MIRAGE,51476
9387114,IMPERIAL MWK,180201
9387085,MSC MAGNIFICA,9429
9387073,MSC POESIA,10561
9387059,MIRACLE,38496
9386976,WYBELSUM,17083
9386926,ORAWA,38056
9386914,MAZOWSZE,38065
9386536,STEALTH HARALAMBOS,113021
9386524,A LA MARINE,20069
9386495,CMA CGM LAPIS,52513
9389863,GULF CRYSTAL,74999
9389978,ALPINE CONFIDENCE,107600
9394870,MAERSK BALI,43206
9393072,ERNE,10303
9393319,KOTOR BAY,95810
9393307,VARNA BAY,95810
9393242,REGINE,11937
9393163,TUFTY,30803
9393151,BRANT,30777
9393149,BLACKY,30802
9393101,BW ZAMBESI,76578
9393096,BW YANGTZE,76579
9393084,BW THAMES,76586
9393060,DERG,10303
9390173,ELLIE LADY,109999
9393010,BOW AGATHE,33609
9392925,MAERSK BUTON,43123
9392822,BERICA,115146
9392793,NORD MAGIC,49999
9392779,ATLANTIC POLARIS,49999
9392482,TORM LOUISE,49999
9392470,TORM LILLY,49999
9392468,TORM LOTTE,49999
9392391,JOSE PROGRESS,47018
9393383,ALVISE DP,8139
9393395,TOMMASO S,8110
9393448,MIEDWIE,29984
9393450,DRAWSKO,29978
9394753,MANOUSOS P,82549
9394519,EMMY SCHULTE,16669
9394234,SOUSELAS,21058
9394222,DON JUAN,21057
9394208,NASHWAN,16922
9394040,NORIENT SATURN,40435
9393981,ROLLDOCK SUN,6959
9393670,ANUKET SAPPHIRE,7310
9393668,ANUKET RUBY,7279
9393656,ANUKET JADE,7414
9393632,SUNSHINE,37317
9393620,SUNRISE,37268
9393589,BBC  AMERICA,25747
9393577,AAL GALVESTON,25774
9393565,AAL GIBRALTAR,25732
9393553,AAL GENOA,25733
9393541,AAL GLADSTONE,25733
9393474,WICKO,30379
9393462,RESKO,29909
9392389,CELSIUS ROME,45996
9392353,MERCURY LEADER,15045
